STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_Crimes
ANDAMAN & NICOBAR,2001,6.0,4.0,0.0,38.0,2.0,18.0,0.0,68.0
ANDAMAN & NICOBAR,2002,4.0,2.0,0.0,34.0,6.0,8.0,0.0,54.0
ANDAMAN & NICOBAR,2003,4.0,4.0,0.0,18.0,4.0,14.0,0.0,44.0
ANDAMAN & NICOBAR,2004,20.0,6.0,0.0,12.0,6.0,10.0,0.0,54.0
ANDAMAN & NICOBAR,2005,8.0,2.0,0.0,22.0,2.0,10.0,0.0,44.0
ANDAMAN & NICOBAR,2006,12.0,10.0,0.0,28.0,8.0,14.0,0.0,72.0
ANDAMAN & NICOBAR,2007,6.0,18.0,2.0,42.0,4.0,36.0,0.0,108.0
ANDAMAN & NICOBAR,2008,24.0,26.0,4.0,48.0,6.0,52.0,0.0,160.0
ANDAMAN & NICOBAR,2009,36.0,28.0,2.0,60.0,14.0,42.0,0.0,182.0
ANDAMAN & NICOBAR,2010,48.0,16.0,0.0,62.0,20.0,18.0,0.0,164.0
ANDAMAN & NICOBAR,2011,26.0,24.0,0.0,30.0,6.0,10.0,0.0,96.0
ANDAMAN & NICOBAR,2012,24.0,14.0,4.0,34.0,8.0,10.0,0.0,94.0
ANDAMAN & NICOBAR,2013,54.0,24.0,2.0,90.0,16.0,18.0,0.0,204.0
ANDAMAN & NICOBAR,2014,64.0,34.0,6.0,82.0,10.0,28.0,0.0,224.0
ANDHRA PRADESH,2001,1742.0,1530.0,840.0,7088.0,4542.0,11582.0,14.0,27338.0
ANDHRA PRADESH,2002,2004.0,1708.0,898.0,7598.0,4048.0,14036.0,0.0,30292.0
ANDHRA PRADESH,2003,1892.0,1862.0,932.0,8256.0,4572.0,16334.0,10.0,33858.0
ANDHRA PRADESH,2004,2032.0,2060.0,1024.0,7634.0,4620.0,16776.0,4.0,34150.0
ANDHRA PRADESH,2005,1870.0,1990.0,886.0,7190.0,5016.0,17392.0,6.0,34350.0
ANDHRA PRADESH,2006,2098.0,2658.0,1038.0,9068.0,4822.0,18328.0,0.0,38012.0
ANDHRA PRADESH,2007,2140.0,3128.0,1226.0,8812.0,6632.0,22670.0,0.0,44608.0
ANDHRA PRADESH,2008,2514.0,2792.0,1112.0,9460.0,7102.0,20612.0,0.0,43592.0
ANDHRA PRADESH,2009,2376.0,3052.0,1092.0,10294.0,7040.0,22594.0,0.0,46448.0
ANDHRA PRADESH,2010,2724.0,3062.0,1176.0,9268.0,9124.0,24160.0,0.0,49514.0
